GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mainProject,real.abc,StudyGroup,4,37,0,0,2,10,1,5,1,5
mainProject,real.abc,Student,0,21,0,0,0,8,0,4,0,4
